mapstat_id,timestamp_unix,team1_id,team1_nome,team1_score,team2_id,team2_nome,team2_score,vencedor,mapa,evento_id,evento_nome
170501,1708092300000,11883,9 Pandas,11,4914,3DMAX,13,3DMAX,Nuke,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170508,1708090800000,11251,Eternal Fire,5,6667,FaZe,13,FaZe,Nuke,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170496,1708090800000,6667,FaZe,19,11251,Eternal Fire,17,FaZe,Overpass,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170492,1708081200000,11283,Falcons,13,12586,AMKAL,16,AMKAL,Mirage,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170488,1708081200000,12586,AMKAL,13,11283,Falcons,8,AMKAL,Ancient,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170482,1708081200000,11283,Falcons,13,12586,AMKAL,6,Falcons,Vertigo,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170489,1708081200000,12591,KOI,13,4991,fnatic,7,KOI,Ancient,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170484,1708081200000,4991,fnatic,16,12591,KOI,19,KOI,Vertigo,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170465,1708039500000,9455,Imperial,16,9996,9z,12,Imperial,Nuke,7643,IEM Dallas 2024 South America Open Qualifier 1
170464,1708039500000,9996,9z,6,9455,Imperial,13,Imperial,Mirage,7643,IEM Dallas 2024 South America Open Qualifier 1
170445,1708011300000,4608,Natus Vincere,9,5378,Virtus.pro,13,Virtus.pro,Anubis,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170441,1708011300000,4608,Natus Vincere,9,5378,Virtus.pro,13,Virtus.pro,Ancient,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170439,1708003500000,4411,Ninjas in Pyjamas,3,10567,SAW,13,SAW,Nuke,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170437,1708003500000,10567,SAW,13,4411,Ninjas in Pyjamas,5,SAW,Ancient,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170438,1708002900000,5995,G2,13,6667,FaZe,9,G2,Ancient,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170436,1708002900000,5995,G2,13,6667,FaZe,8,G2,Anubis,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170434,1707998100000,4991,fnatic,13,12586,AMKAL,11,fnatic,Overpass,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170430,1707994800000,11883,9 Pandas,11,12591,KOI,13,KOI,Inferno,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170427,1707994800000,11251,Eternal Fire,13,11283,Falcons,5,Eternal Fire,Nuke,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170392,1707937800000,5378,Virtus.pro,13,4991,fnatic,3,Virtus.pro,Ancient,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170390,1707936000000,5995,G2,16,11251,Eternal Fire,13,G2,Nuke,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170388,1707933600000,4914,3DMAX,8,12591,KOI,13,KOI,Nuke,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170386,1707932400000,6667,FaZe,13,11283,Falcons,7,FaZe,Nuke,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170380,1707926400000,12586,AMKAL,22,4411,Ninjas in Pyjamas,20,AMKAL,Overpass,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170379,1707926400000,10567,SAW,1,11883,9 Pandas,13,9 Pandas,Anubis,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170378,1707920400000,4914,3DMAX,8,11283,Falcons,13,Falcons,Nuke,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
